tmdb_id,title,original_title,description,release_year,image_url,external_rating_average,external_rating_count,first_air_date,last_air_date,creator_names,actor_names
1396,Во все тяжкие,Breaking Bad,"Вся жизнь немолодого школьного учителя химии Уолтера Уайта — это борьба. Его зарплаты не хватает на содержание беременной жены и сына-инвалида, поэтому учитель вынужден подрабатывать на автомойке. Но всё меняется, когда Уолтеру ставят страшный диагноз — неоперабельный рак лёгких.",2008,https://image.tmdb.org/t/p/w500/3NA1FOlnjE909OyVT534B7fw5h5.jpg,8.946,17826,2008-01-20,2013-09-29,Винс Гиллиган,"Брайан Крэнстон, Аарон Пол, Анна Ганн, Ар Джей Митт, Дин Норрис, Бетси Брандт, Джанкарло Эспозито, Боб Оденкёрк, Стивен Майкл Кесада, Джонатан Бэнкс"
273240,Вне кампуса,Off Campus,"Отличница и поп-певица Ханна влюблена в местную знаменитость - звезду футбола Джастина Кола, но тот не замечает девушку. Чтобы обратить на себя внимание Джастина и заставить ревновать, она заключает договор с капитаном университетской хоккейной команды. Он должен сыграть роль её жениха, а Ханна поможет ему улучшить успеваемость. Однако надёжный план даёт сбой.",2026,https://image.tmdb.org/t/p/w500/etw1XngIUqHeTeIPloS9B8w9xPi.jpg,9.157,308,2026-05-13,2026-05-13,"Gina Fattore, Louisa Levy","Элла Брайт, Белмонт Камели, Мика Абдалла, Стивен Калин, Джейлен Томас Брукс, Антонио Сиприано, Стив Хоуи, Chad Willett, Джош Хюстон, Khobe Clarke"
246,Аватар: Легенда об Аанге,Avatar: The Last Airbender,"В мире существуют народы 4-ёх стихий: огня, воды, земли и воздуха. Представитель народа огня решил поработить остальные народы. Спасти мир и прекратить войну подвластно только Аватару, повелевающему всеми 4-мя стихиями. Ответственность внезапно ложится на плечи 19-ти летнего Аанга, которому предстоит отправиться в опасное путешествие.",2005,https://image.tmdb.org/t/p/w500/pbTLpt8c7YUT4Vr6DE2ai3HY6U7.jpg,8.759,4846,2005-02-21,2008-07-19,"Майкл Данте Димартино, Брайан Кониецко","Зак Эйзен, Мэй Уитман, Джек Де Сена, Данте Баско, Mako, Ди Брэдли Бейкер, Cricket Leigh, Olivia Hack, Джесси Флауэр, Андре Соглиуззо"
94605,Аркейн,Arcane,"В условиях глубоких разногласий между городами-близнецами, Пилтовером и Зауном, две сестры оказываются по разные стороны баррикад в войне технологий и убеждений.",2021,https://image.tmdb.org/t/p/w500/kVioUjk1SXGWblJNaKsIJcBqUcY.jpg,8.753,5899,2021-11-06,2024-11-23,"Кристиан Линке, Алекс Йи","Хейли Стайнфелд, Элла Пернелл, Кевин Алехандро, Джейсон Спайсэк, Амирах Ванн, Миа Синклер Дженнесс, Юрий Ловенталь, Шоре Агдашлу, Reed Shannon, Роджер Крейг Смит"
87108,Чернобыль,Chernobyl,"«Чернобыль» драматизирует «истинную историю одной из худших техногенных катастроф в истории и рассказывает о храбрых мужчинах и женщинах, которые пожертвовали собой, чтобы спасти Европу от невообразимой катастрофы. Мини-сериал сосредоточен на душераздирающем масштабе катастрофы на атомной станции, которая произошла в УССР в апреле 1986 года, раскрывая, как и почему это произошло, и рассказывая шокирующие и замечательные истории героев, которые сражались и пали».",2019,https://image.tmdb.org/t/p/w500/qhzSVp06AGGcziMoibInZ5PY0Eg.jpg,8.709,7879,2019-05-06,2019-06-03,Крейг Мейзин,"Джаред Харрис, Стеллан Скарсгард, Эмили Уотсон, Paul Ritter, Джесси Бакли, Адам Нагайтис, Сэм Троутон, Роберт Эммс, Con O'Neill, Эдриан Роулинз"
60059,Лучше звоните Солу,Better Call Saul,"История об испытаниях и невзгодах, которые приходится преодолеть Солу Гудману, адвокату по уголовным делам, в тот период, когда он пытается открыть свою собственную адвокатскую контору в Альбукерке, штат Нью-Мексико.",2015,https://image.tmdb.org/t/p/w500/o2jgxiP6PNaZQzlql8DgouwTBvz.jpg,8.706,6495,2015-02-08,2022-08-15,"Винс Гиллиган, Питер Гулд","Боб Оденкёрк, Джонатан Бэнкс, Майкл Маккин, Рэй Сихорн, Патрик Фабиан, Майкл Мэндо, Тони Далтон, Джанкарло Эспозито, Stoney Westmoreland, Алекс Десерт"
37854,Ван-Пис,ワンピース,"Гол Д. Роджер — король пиратов, добившийся за свою жизнь богатства, славы и власти - спрятал где-то на просторах этого мира загадочное сокровище, которое все называют «Ван-Пис». После смерти Роджера множество смельчаков кинулись на поиски этого большого куша. И наступила великая эпоха пиратов! Вот и паренёк по имени Луффи, живущий в маленькой прибрежной деревушке, мечтает стать пиратом. Ещё в детстве он ненароком съел дьявольский плод «резина-резина» и приобрёл невероятные способности. Повзрослев, он покидает родные места в погоне за величайшим сокровищем!",1999,https://image.tmdb.org/t/p/w500/osRT8GsND3PfhvevsS5DK9px0LI.jpg,8.7,5319,1999-10-20,2026-05-24,,"Маюми Танака, Кадзуя Накай, Мари Ягучи, Акэми Окамура, Каппэй Ямагути, Хироаки Хирата, Икуэ Отани, Кацухиса Хоки, Рэйко Такаги, Ёхэй Тадано"
299167,Ранчо Даттонов,Dutton Ranch,"Ранчо Даттонов - дом Бет и Рипа, стало символом той жизни, о которой они мечтали, за которую отчаянно боролись и ради которой едва не пожертвовали всем. Они всей душой привязались к своей земле площадью 7000 акров, превратив её в место, которое готовы защищать любой ценой. Даже в самые тяжёлые времена Бет и Рип делают всё возможное, чтобы выстоять, сохранить своё ранчо и обеспечить достойное будущее себе и своему приёмному сыну Картеру.",2026,https://image.tmdb.org/t/p/w500/mmxsx98NnY56CvataUqM1ktt14O.jpg,9.3,160,2026-05-15,2026-05-29,Chad Feehan,"Келли Райлли, Коул Хаузер, Финн Литтл, Хуан Пабло Раба, Джай Кортни, Х.Р. Вильярреаль, Марк Менчака, Натали Элин Линд, Эд Харрис, Аннетт Бенинг"
209867,"Фрирен, провожающая в последний путь",葬送のフリーレン,"Владыка Тьмы повержен, и вместе с тем подошло к концу путешествие героя Химмеля и его отряда. Шли годы, все они разбрелись кто куда, но только эльфийке-долгожительнице Фрирен десятилетия показались мгновением... и однажды на её плечи легла тяжесть осознания того, что людской век ужасно скоротечен. В конце концов эльфийка решает во чтобы то ни стало исполнить предсмертные желания своих друзей. Но сможет ли она это сделать? И как сильно её потрясёт череда неизбежных потерь? Фрирен пускается в путь, чтобы это выяснить...",2023,https://image.tmdb.org/t/p/w500/bxWVzZ6oq5SdUBOcG74IavUlHGd.jpg,8.798,830,2023-09-29,2026-03-27,,"Ацуми Танэдзаки, Кана Итиносэ, Тиаки Кобаяси, Нобухико Окамото, Хироки Тоти, Ёдзи Уэда, Ёсими Мицуи, Мэико Кавасаки, Ай Сато, Камири Мацуда"
1398,Сопрано,The Sopranos,"Авторитетный мафиози Тони Сопрано терпеливо разруливает многочисленные семейные проблемы. Его дядюшка Джуниор, старший по званию бандит, постоянно вставляет Тони палки в колеса, брак явно переживает кризис, дети регулярно приносят малоприятные сюрпризы, а нестабильная матушка попадает в историю за историей. У сильного и влиятельного Тони голова натурально идет кругом, и он обращается к психоаналитику. Однако эту затею нужно держать в строжайшей тайне от коллег. При такой непростой профессии откровения на кушетке могут кончиться совсем печально.",1999,https://image.tmdb.org/t/p/w500/ql3hfc3cN1gUZf3P3jX6GTAxu4J.jpg,8.666,3456,1999-01-10,2007-06-10,Дэвид Чейз,"Джеймс Гандольфини, Эди Фалко, Джейми-Линн Сиглер, Роберт Айлер, Лоррейн Бракко, Майкл Империоли, Стивен Ван Зандт, Тони Сирико, Доминик Кьянезе, Аида Туртурро"
